image_id,filename,title,google,ra,batch,errors,identifiable_yes,identifiable_no,identifiable_with_info_sidebar,identifiable_with_detective_work,identifiable_different_language,diversity_none,diversity_bipoc,diversity_noncisman,diversity_lgbq,diversity_non_christian,diversity_disability,diversity_other,diversity_ambiguous,TagID
user1980_3831_book_4_4.jpg5196,user1980_3831_book_4_4.jpg,The Henna Wars,https://www.google.com/books/edition/The_Henna_Wars/WYCoDwAAQBAJ?hl=en&gbpv=0,Emily,Batch 1 training set,,0,0,0,1,0,0,1,1,1,0,0,0,0,user1980_3831_book_4_4
user2180_23_book_18_19.jpg3094,user2180_23_book_18_19.jpg,"Latke, the Lucky Dog","https://www.google.com/books/edition/Latke_the_Lucky_Dog/5j61AwAAQBAJ?hl=en&gbpv=1&dq=Latke,+the+Lucky+Dog&printsec=frontcover",Emily,Batch 1 training set,,1,0,0,0,0,0,0,0,0,0,0,0,1,user2180_23_book_18_19
user2281_2010_book_5_15.jpg5167,user2281_2010_book_5_15.jpg,baditude: what to do when life stinks!,https://www.google.com/books/edition/Baditude_What_to_Do_When_Life_Stinks/1H5IDwAAQBAJ?hl=en&gbpv=1&dq=baditude&printsec=frontcover,Emily,Batch 1 training set,,0,0,0,1,0,0,1,0,0,0,0,0,0,user2281_2010_book_5_15
user9_4519_book_3_3.jpg6914,user9_4519_book_3_3.jpg,Insignificant Events in the Life of a Cactus,https://www.google.com/books/edition/Insignificant_Events_in_the_Life_of_a_Ca/OMbonAAACAAJ?hl=en&kptab=morebyauthor,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user9_4519_book_3_3
user10_4547_book_4_4.jpg5437,user10_4547_book_4_4.jpg,The Gilded Wolves,https://www.google.com/books/edition/The_Gilded_Wolves/yON3DwAAQBAJ?hl=en&gbpv=1&dq=the+gilded+wolves&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user10_4547_book_4_4
user21_217_book_14_17.jpg2876,user21_217_book_14_17.jpg,Polar Bears,https://www.google.com/books/edition/Polar_Bears/9W_KwS2UXD4C?hl=en&gbpv=1&dq=polar+bears&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user21_217_book_14_17
user42_4681_book_8_11.jpg1959,user42_4681_book_8_11.jpg,"""The President Has Been Shot!"": The Assassination of John F. Kennedy",https://www.google.com/books/edition/The_President_Has_Been_Shot_The_Assassin/rprn7Pj5cZYC?hl=en&gbpv=1&dq=the+president+has+been+shot&printsec=frontcover,Emily,Batch 10,,0,0,1,0,0,0,0,1,0,0,0,0,0,user42_4681_book_8_11
user46_244_book_3_7.jpg5072,user46_244_book_3_7.jpg,A Wrinkle in Time,https://www.google.com/books/edition/A_Wrinkle_in_Time/r119-dYq0mwC?hl=en&gbpv=1&dq=a+wrinkle+in+time&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,0,0,1,0,0,0,0,0,user46_244_book_3_7
user50_251_book_3_2.jpg3980,user50_251_book_3_2.jpg,A Curse So Dark and Lonely,https://www.google.com/books/edition/A_Curse_So_Dark_and_Lonely/houCDwAAQBAJ?hl=en&gbpv=1&dq=a+curse+so+dark+and+lonely&printsec=frontcover,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user50_251_book_3_2
user51_253_book_2_5.jpg6625,user51_253_book_2_5.jpg,"Fluffy, the Secret Santa",https://www.google.com/books/edition/Fluffy_the_Secret_Santa/5dgbAAAACAAJ?hl=en,Emily,Batch 10,,1,0,0,0,0,1,0,0,0,0,0,0,0,user51_253_book_2_5
