TagID,Note
user821_2232_book_2_6,Poster
user872_1031_book_4_5 ,Snapshot of a bitmoji classroom
user945_2269_book_10_11,Poster
user1145_1702_book_19_31 ,Brain Pop Video
user1145_1702_book_6_10 ,Brain Pop Video
user1197_4758_book_8_35,Product Ad
user1248_1131_book_2_11 ,Board game called Chicken Shuffle Jr.
user1374_559_book_4_8,I Spy Printable
user1706_1884_book_2_6 ,Puzzle Game
user1776_646_book_4_12 ,not a book? Only image search results were for stock photos
user2357_3924_book_5_8 ,not a book but a poster
user2440_69_book_2_3 ,a video screen grab
user1145_1701_book_13_16 ,Not a Book
user1193_4757_book_2_20 ,a scholastic newsletter edition may/June 2020
user1706_1884_book_1_5 ,learning game of geometric solids
user1706_2498_book_1_3 ,learning game of geometric solids
user1176_646_book_1_4 ,stock image 
user1949_4911_book_4_6,like an image/poster 
user1996_2568_book_1_9 ,a time magazine cover ‘the magic of Harry Potter’
user2029_708_book_15_26 ,American Democracy in Action poster to vote
user2365_51_book_9_9,a RBG poster ‘I dissent’ 
user2678_2741_book_5_6 ,a poster 
user2869_2155_book_6_14 ,junior beta logo
user2949_150_book_6_8 ,a Christmas album 
user468_2993_book_6_14,looks like a library / book shelf
user1012_321_book_3_7,a play / performance
user1301_4251_book_4_11,Looks like a poster
user1658_1869_book_1_10,Looks like a drawing of a book
user1706_1884_book_3_7,Looks like a toy
user1846_3804_book_3_9,"Not a book, it's a bookshelf"
user1959_4912_book_1_9,not a book
user2329_1420_book_4_12,Not a book
user2756_2757_book_2_1,a poster
user79_3508_book_5_5 ,not a book but a poster
user1012_320_book_1_8 ,a screen grab for a film
user1029_3551_book_3_6 ,stock photo
user1029_4144_book_4_10 ,a screen grab for the tv show ‘wild kratts’ 
user1153_2313_book_4_5,a poster
user1193_4757_book_1_9 ,scholastic newsletter edition may/June 2020 
user1197_4758_book_1_12 ,not a book but a product 
user1374_555_book_2_5 ,screen grab of a YouTube video series ‘how to draw’ 
user1374_559_book_2_6,screen grab of a YouTube video series ‘how to draw’ 
user1374_560_book_2_7 ,screen grab of a YouTube video series ‘how to draw’ 
user1632_3750_book_3_3 ,stock image
user1888_3176_book_1_6,magazine of national geographic kids issue August 2018 
user1928_4908_book_2_3 ,a podcast 
user76_2833_book_10_9 ,not a real book
user195_4304_book_11_14,screengrab from a video
user1374_553_book_2_6,not a book 
user1153_2313_book_8_12,A Poster
user147_2362_book_4_15,Not a book
user264_900_book_6_20,Not a book
user972_4128_book_5_9,Not a book
user1145_1701_book_5_5,Not a book
user1145_1702_book_3_7,Not a book
user2371_60_book_4_11,looks like multiple books
user2730_3992_book_2_6,a drawing of a book
user2775_3392_book_1_7, drawing of a book
user1145_1702_book_16_28,Not a book
user76_2833_book_11_10 ,Nazi poster?
user575_3042_book_1_0 ,a poster
user872_279_book_3_7 ,a poster that says “lee un libra”
user1012_321_book_1_5 ,"the movie poster of Beowulf, I can’t find if they ever made a “movie edition” of the book cover"
user1029_4144_book_5_11 ,the app icon for Cosmic Kids Yoga App
user1029_4144_book_6_12,not a book
user1145_1702_book_15_27 ,screen cap from BrainPop video on Jamestown
user1713_3781_book_1_8,not a book
user1814_2529_book_3_12 ,not a published book
user1876_2537_book_10_11 ,picture of a building
user1896_3815_book_9_8,picture of fisher price laugh & learn farm animal puzzle
user2008_4482_book_1_2 ,"graphic of a generic comic book, not an actual book"
user2152_1990_book_2_2 ,vintage travel poster for yosemite
user2563_3957_book_1_0 ,alphabet banner
user2756_2757_book_1_0 ,math classroom poster
user2775_3391_book_1_8,not a book
user2790_4659_book_15_17 ,Peter Pan movie poster
user2899_2175_book_3_9 ,Composition notebook
user2959_948_book_5_4,mood meter poster
user956_1069_book_4_11 ,Poster for Camp Nanowrimo 2020 writer
user1012_320_book_4_11 ,Poster “Don’t forget to be mindful”
user1547_4850_book_3_6,School mascot poster
user2669_1507_book_1_8,not a book
user2756_2757_book_3_2 ,whiteboard
user2958_156_book_16_15 ,"online book, not published"
user2180_23_book_4_4,not a book
user872_279_book_6_10,"Spanish language poster or powerpoint ""el partido de futbol"" "
user1145_1702_book_2_6,Screencap from BrainPop video on Jamestown
user1374_553_book_3_9,"Youtube video ""How to draw gingerbread house"""
user1776_646_book_3_11,"Not a book, either a video or a poster"
user1783_4424_book_2_6,"Teacher made material ""Blood on the River"""
user2440_69_book_4_7,"Digital read aloud/song ""Pumpkins all around"" "
user537_3031_book_6_9,Speech bubble introducing teacher
user1836_3165_book_1_5,"Educational tool ""Let's Talk : Oral Langauge Box"""
user2471_2074_book_1_4,Scholastic News Magazine
user740_1581_book_7_10,potentially Dungeons & Dragons Players Manual
user2795_3406_book_1_2,The Reflection of me - Animated video
user468_2993_book_6_14,looks like a library shelf
user1012_321_book_3_7,"not a book, a play / performance"
user1301_4251_book_4_11,looks like a poster
user1658_1869_book_1_10,looks like a drawing of a book
user1846_3804_book_3_9,"not a book, a bookshelf"
user1959_4912_book_1_9,not a book
user2329_1420_book_4_12,not a book
user2756_2757_book_2_1,"not a book, a poster"
user147_2362_book_4_15,not a book
user264_900_book_6_20,not a book
user264_900_book_6_20,"not a book, a youtube video"
user972_4128_book_5_9,not a book
user1145_1701_book_5_5,not a book
user1145_1702_book_3_7,not a book
user2371_60_book_4_11,not a book
user2730_3992_book_2_6,not a book
user2775_3392_book_1_7,not a book
user1145_1702_book_16_28,not a book
user1703_4873_book_3_12,"not a book, a cat"
user147_2362_book_5_16,not a book
user1145_1701_book_3_3,not a book
user1658_4863_book_1_0,not a book
user1996_2568_book_4_14,"not a book, a wizard chess set"
user1145_1701_book_4_4,not a book
user1706_2498_book_2_8,"not a book, a fraction chart"
