ra,batch,batch_path,image,image_path,title,google,identifiable,diversity_none,diversity_bipoc,diversity_non_cis_man,diversity_lgbq,diversity_non_christian,diversity_disabled,diversity_other,diversity_ambiguous
Emily,Batch 1 training set,../coded-books/Emily\Batch 1 training set,user1433_1806_book_6_9.jpg,../coded-books/Emily\Batch 1 training set\user1433_1806_book_6_9.jpg,divergent,https://www.google.com/books/edition/Divergent/-TUinwEACAAJ?hl=en,yes,True,False,False,False,False,False,False,False
Nicole Stern,Batch 1 training set,../coded-books/Nicole Stern\Batch 1 training set,user1433_1806_book_6_9.jpg,../coded-books/Nicole Stern\Batch 1 training set\user1433_1806_book_6_9.jpg,divergent,https://www.google.com/books/edition/Divergent_Series_Ultimate_Four_Book_Coll/tTMGAwAAQBAJ?hl=en&gbpv=1&dq=Divergent&printsec=frontcover,yes,True,False,False,False,False,False,False,False
Sabrina,Batch 1 training set,../coded-books/Sabrina\Batch 1 training set,user1433_1806_book_6_9.jpg,../coded-books/Sabrina\Batch 1 training set\user1433_1806_book_6_9.jpg,divergent,https://www.google.com/books/edition/Divergent_Divergent_Trilogy_Book_1/OX8lAAAAQBAJ?hl=en,yes,True,False,False,False,False,False,False,False
Stephanie,Batch 1 training set,../coded-books/Stephanie\Batch 1 training set,user1433_1806_book_6_9.jpg,../coded-books/Stephanie\Batch 1 training set\user1433_1806_book_6_9.jpg,divergent,https://www.google.com/books/edition/Divergent_Collector_s_Edition/hftzAwAAQBAJ?hl=en&gbpv=1&dq=divergent&printsec=frontcover,yes,True,False,False,False,False,False,False,False
Emily,Batch 34,../coded-books/Emily\Batch 34,user1433_1806_book_6_9.jpg,../coded-books/Emily\Batch 34\user1433_1806_book_6_9.jpg,divergent,https://www.google.com/books/edition/Divergent/p1D3oAEACAAJ?hl=en,yes,True,False,False,False,False,False,False,False
Emily,Batch 1 training set,../coded-books/Emily\Batch 1 training set,user1436_577_book_1_5.jpg,../coded-books/Emily\Batch 1 training set\user1436_577_book_1_5.jpg,pete the cat: five little pumpkins,https://www.google.com/books/edition/Pete_the_Cat_Five_Little_Pumpkins/zLOiBgAAQBAJ?hl=en&gbpv=1&dq=pete+the+cat+halloween&printsec=frontcover,yes,True,False,False,False,False,False,False,False
Nicole Stern,Batch 1 training set,../coded-books/Nicole Stern\Batch 1 training set,user1436_577_book_1_5.jpg,../coded-books/Nicole Stern\Batch 1 training set\user1436_577_book_1_5.jpg,pat le chat: cinq petites citrouilles,https://www.google.com/books/edition/Cinq_Petites_Citrouilles/W-8DkAEACAAJ?hl=en,with info sidebar,True,False,False,False,False,False,False,False
Sabrina,Batch 1 training set,../coded-books/Sabrina\Batch 1 training set,user1436_577_book_1_5.jpg,../coded-books/Sabrina\Batch 1 training set\user1436_577_book_1_5.jpg,pete the cat five little pumpkins,https://www.google.com/books/edition/Pete_the_Cat_Five_Little_Pumpkins/rxzAoQEACAAJ?hl=en,with detective work,True,False,False,False,False,False,False,False
Stephanie,Batch 1 training set,../coded-books/Stephanie\Batch 1 training set,user1436_577_book_1_5.jpg,../coded-books/Stephanie\Batch 1 training set\user1436_577_book_1_5.jpg,pete the cat: five little pumpkins,https://www.google.com/books/edition/Pete_the_Cat_Five_Little_Pumpkins/zLOiBgAAQBAJ?hl=en&gbpv=1&dq=Pete+the+Cat:+five+little+pumpkins&printsec=frontcover,yes,True,False,False,False,False,False,False,False
Emily,Batch 8,../coded-books/Emily\Batch 8,user1436_577_book_1_5.jpg,../coded-books/Emily\Batch 8\user1436_577_book_1_5.jpg,pete the cat: five little pumpkins,https://www.google.com/books/edition/Pete_the_Cat_Five_Little_Pumpkins/rxzAoQEACAAJ?hl=en,yes,True,False,False,False,False,False,False,False
Emily,Batch 1 training set,../coded-books/Emily\Batch 1 training set,user1446_3066_book_15_18.jpg,../coded-books/Emily\Batch 1 training set\user1446_3066_book_15_18.jpg,power forward,https://www.google.com/books/edition/Power_Forward/lsHvDwAAQBAJ?hl=en&gbpv=1&dq=power+forward&printsec=frontcover,yes,False,True,False,False,False,False,False,False
Nicole Stern,Batch 1 training set,../coded-books/Nicole Stern\Batch 1 training set,user1446_3066_book_15_18.jpg,../coded-books/Nicole Stern\Batch 1 training set\user1446_3066_book_15_18.jpg,power forward: zayo saleem chasing the dream,https://www.google.com/books/edition/Power_Forward/lsHvDwAAQBAJ?hl=en&gbpv=0,with info sidebar,True,False,False,False,False,False,False,False
Sabrina,Batch 1 training set,../coded-books/Sabrina\Batch 1 training set,user1446_3066_book_15_18.jpg,../coded-books/Sabrina\Batch 1 training set\user1446_3066_book_15_18.jpg,power forward,https://www.google.com/books/edition/Power_Forward/lsHvDwAAQBAJ?hl=en&gbpv=1&dq=power+forward&printsec=frontcover,yes,False,True,False,False,True,False,False,False
Stephanie,Batch 1 training set,../coded-books/Stephanie\Batch 1 training set,user1446_3066_book_15_18.jpg,../coded-books/Stephanie\Batch 1 training set\user1446_3066_book_15_18.jpg,power forward,https://www.google.com/books/edition/Power_Forward/lsHvDwAAQBAJ?hl=en&gbpv=1&dq=power+forward&printsec=frontcover,yes,False,True,False,False,False,False,False,False
Nicole Stern,Batch 20,../coded-books/Nicole Stern\Batch 20,user1446_3066_book_15_18.jpg,../coded-books/Nicole Stern\Batch 20\user1446_3066_book_15_18.jpg,power forward,https://www.google.com/books/edition/Power_Forward/lsHvDwAAQBAJ?hl=en&gbpv=0,yes,False,True,False,False,False,False,False,False
Emily,Batch 1 training set,../coded-books/Emily\Batch 1 training set,user1446_3066_book_3_6.jpg,../coded-books/Emily\Batch 1 training set\user1446_3066_book_3_6.jpg,lety out loud,https://www.google.com/books/edition/Lety_Out_Loud/28dxtgEACAAJ?hl=en,yes,False,True,False,False,False,False,False,False
